"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_id","gene_symbol"
3.2612272430534e-26,9.45943765513674,0.25,0.001,1.09883790727441e-21,"12","ENSG00000169783","ENSG00000169783","LINGO1"
1.24731134272465e-34,9.24659382450812,0.309,0.001,4.20269083817644e-30,"12","ENSG00000121361","ENSG00000121361","KCNJ8"
2.32857089084057e-96,9.17893771075782,0.741,0.009,7.84588675959822e-92,"12","ENSG00000143248","ENSG00000143248","RGS5"
5.55385879637936e-38,8.96743445476097,0.326,0.001,1.87131718285206e-33,"12","ENSG00000157766","ENSG00000157766","ACAN"
9.20530902902533e-29,8.75357544019108,0.276,0.001,3.10163682423979e-24,"12","ENSG00000069431","ENSG00000069431","ABCC9"
1.5519385857193e-35,8.74331911209266,0.326,0.002,5.22910187072262e-31,"12","ENSG00000163909","ENSG00000163909","HEYL"
8.50637391149212e-40,8.73946641623289,0.372,0.002,2.86613762573816e-35,"12","ENSG00000198523","ENSG00000198523","PLN"
3.3390066571254e-30,8.62261919981143,0.294,0.002,1.12504490305183e-25,"12","ENSG00000179772","ENSG00000179772","FOXS1"
8.39523231603186e-30,8.59739406590319,0.291,0.002,2.82868957656377e-25,"12","ENSG00000138792","ENSG00000138792","ENPEP"
7.04549710846939e-27,8.54436594220395,0.254,0.001,2.37390979572768e-22,"12","ENSG00000183807","ENSG00000183807","FAM162B"
1.87849132872204e-80,7.99808735987051,0.681,0.006,6.32938868299605e-76,"14","ENSG00000248144","ENSG00000248144","ADH1C"
2.63234190911946e-49,7.60843684988687,0.473,0.009,8.86941282858712e-45,"14","ENSG00000159182","ENSG00000159182","PRAC1"
3.43466425420987e-22,7.53684358120501,0.223,0.001,1.15727577381347e-17,"14","ENSG00000137860","ENSG00000137860","SLC28A2"
6.69073901706551e-40,6.96569031796946,0.381,0.008,2.25437760441005e-35,"14","ENSG00000159184","ENSG00000159184","HOXB13"
5.7513472926291e-25,6.5888180080034,0.256,0.002,1.93785895677845e-20,"14","ENSG00000135220","ENSG00000135220","UGT2A3"
4.35149393332088e-27,6.50251995669056,0.267,0.003,1.46619236589314e-22,"14","ENSG00000243955","ENSG00000243955","GSTA1"
1.74517058730905e-33,6.21883109941629,0.348,0.011,5.88017777687911e-29,"14","ENSG00000133710","ENSG00000133710","SPINK5"
1.45475442144353e-61,6.20172443336774,0.582,0.024,4.90164954761183e-57,"14","ENSG00000188257","ENSG00000188257","PLA2G2A"
2.2888623323649e-90,5.96058235272701,0.802,0.051,7.71209274267029e-86,"14","ENSG00000125144","ENSG00000125144","MT1G"
2.17321598013393e-44,5.9365614369727,0.432,0.014,7.32243392346325e-40,"14","ENSG00000137634","ENSG00000137634","NXPE4"
1.39827358867001e-51,5.91215858905105,0.498,0.024,4.71134302966473e-47,"14","ENSG00000189221","ENSG00000189221","MAOA"
1.82109511548417e-23,5.89267583445741,0.242,0.006,6.13599788211236e-19,"14","ENSG00000133742","ENSG00000133742","CA1"
1.75918398962942e-23,9.33750828244191,0.232,0.001,5.92739453465738e-19,"15","ENSG00000173404","ENSG00000173404","INSM1"
6.72147948179455e-52,9.16326641173992,0.489,0.005,2.26473529659585e-47,"15","ENSG00000102962","ENSG00000102962","CCL22"
9.36197431679879e-24,8.67138121469022,0.242,0.001,3.15442362630219e-19,"15","ENSG00000188505","ENSG00000188505","NCCRP1"
1.26399748016408e-62,8.56101296729882,0.589,0.007,4.25891310966484e-58,"15","ENSG00000172724","ENSG00000172724","CCL19"
5.81455063300918e-34,8.13897089660644,0.332,0.003,1.95915469028611e-29,"15","ENSG00000102970","ENSG00000102970","CCL17"
1.42971385084275e-26,7.81508972416962,0.279,0.004,4.81727784902956e-22,"15","ENSG00000221887","ENSG00000221887","HMSD"
2.08430586515091e-29,7.39016801101241,0.305,0.004,7.02286018203946e-25,"15","ENSG00000122025","ENSG00000122025","FLT3"
5.88553031914904e-65,7.24827912640132,0.611,0.016,1.98307058573408e-60,"15","ENSG00000078081","ENSG00000078081","LAMP3"
9.46718375374942e-24,7.13170124157223,0.242,0.003,3.18987289398833e-19,"15","ENSG00000166676","ENSG00000166676","TVP23A"
1.15276397552851e-25,6.43240824481537,0.268,0.007,3.88412293914576e-21,"15","ENSG00000137571","ENSG00000137571","SLCO5A1"
2.8040329475192e-62,5.95900152988249,0.689,0.067,9.44790861337118e-58,"15","ENSG00000075618","ENSG00000075618","FSCN1"
1.57147508518736e-43,5.93596232267052,0.489,0.025,5.29492815203028e-39,"15","ENSG00000105246","ENSG00000105246","EBI3"
1.94416382853204e-36,9.76165750143736,0.329,0.001,6.55066560385586e-32,"9","ENSG00000105989","ENSG00000105989","WNT2"
2.9964683952188e-31,9.71291467621643,0.311,0.001,1.00963006108502e-26,"9","ENSG00000060718","ENSG00000060718","COL11A1"
2.6310096863381e-22,9.61464738120674,0.221,0.001,8.86492403714758e-18,"9","ENSG00000141338","ENSG00000141338","ABCA8"
1.29257465839234e-78,9.36209809349449,0.627,0.002,4.35520105398713e-74,"9","ENSG00000134853","ENSG00000134853","PDGFRA"
6.21311938752259e-25,9.18191959876262,0.261,0.002,2.09344844643186e-20,"9","ENSG00000106483","ENSG00000106483","SFRP4"
2.18023009857117e-22,8.88917963660244,0.23,0.001,7.34606729412569e-18,"9","ENSG00000168079","ENSG00000168079","SCARA5"
1.01911482933078e-23,8.80478911648601,0.231,0.001,3.43380550594714e-19,"9","ENSG00000123500","ENSG00000123500","COL10A1"
1.31293888547385e-19,8.78611071937479,0.21,0.003,4.42381628071561e-15,"9","ENSG00000189058","ENSG00000189058","APOD"
3.75361989001272e-110,8.69464937741875,0.836,0.009,1.26474468574089e-105,"9","ENSG00000077942","ENSG00000077942","FBLN1"
4.25436440904332e-25,8.47597247553515,0.247,0.003,1.43346554398305e-20,"9","ENSG00000135744","ENSG00000135744","AGT"
3.41213920432288e-38,8.44245901895549,0.387,0.007,1.14968618350455e-33,"9","ENSG00000172156","ENSG00000172156","CCL11"
2.24332486478972e-53,8.31445220849555,0.494,0.005,7.55865879942249e-49,"9","ENSG00000186340","ENSG00000186340","THBS2"
3.64024877211334e-56,12.2831227713752,0.456,0,1.22654542127587e-51,"13","ENSG00000120279","ENSG00000120279","MYCT1"
3.88904542959533e-33,12.0073378702773,0.301,0,1.31037496704785e-28,"13","ENSG00000198844","ENSG00000198844","ARHGEF15"
2.6571131205859e-58,12.0051174527787,0.489,0.001,8.95287694850214e-54,"13","ENSG00000163762","ENSG00000163762","TM4SF18"
6.21224297263942e-26,11.176671091879,0.246,0.001,2.09315314720113e-21,"13","ENSG00000007908","ENSG00000007908","SELE"
1.5519385857193e-35,11.1009059941024,0.324,0,5.22910187072262e-31,"13","ENSG00000164736","ENSG00000164736","SOX17"
3.76984982719702e-78,10.9451646474426,0.623,0.001,1.27021320077576e-73,"13","ENSG00000162618","ENSG00000162618","ADGRL4"
1.48882814547432e-62,10.8361341208812,0.523,0,5.01645755336117e-58,"13","ENSG00000147113","ENSG00000147113","CXorf36"
1.63131860271424e-76,10.4060663300452,0.617,0.001,5.49656489998537e-72,"13","ENSG00000179776","ENSG00000179776","CDH5"
3.67100461364826e-67,10.2325186096854,0.56,0.001,1.23690829452264e-62,"13","ENSG00000176435","ENSG00000176435","CLEC14A"
