"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_id","gene_symbol"
4.0202418457849e-08,1.10125351316881,0.354,0.188,0.00135458028751877,"13","ENSG00000137207","ENSG00000137207","YIPF3"
4.06062772649289e-08,0.856072834365991,0.242,0.12,0.00136818790616451,"13","ENSG00000269858","ENSG00000269858","EGLN2"
4.07609202129785e-08,1.21308437295487,0.281,0.127,0.0013733984456561,"13","ENSG00000175387","ENSG00000175387","SMAD2"
4.19028496747483e-08,1.19033772040225,0.259,0.117,0.00141187461694097,"13","ENSG00000066322","ENSG00000066322","ELOVL1"
4.30659087626311e-08,1.11427659133337,0.246,0.131,0.00145106272984809,"13","ENSG00000133983","ENSG00000133983","COX16"
4.36388895181064e-08,0.698650378443719,0.436,0.305,0.00147036874342308,"13","ENSG00000109180","ENSG00000109180","OCIAD1"
4.41869892941549e-08,1.14525953943073,0.208,0.102,0.00148883641727725,"13","ENSG00000110880","ENSG00000110880","CORO1C"
4.48223260868352e-08,0.841371937402183,0.631,0.485,0.00151024345516982,"13","ENSG00000143761","ENSG00000143761","ARF1"
4.52648608135999e-08,0.885907509151421,0.517,0.362,0.00152515422025343,"13","ENSG00000143256","ENSG00000143256","PFDN2"
4.57604596383234e-08,0.949108574289251,0.214,0.08,0.00154185292705367,"13","ENSG00000144711","ENSG00000144711","IQSEC1"
4.68628623040082e-08,1.45716730126195,0.291,0.129,0.00157899728247125,"13","ENSG00000187840","ENSG00000187840","EIF4EBP1"
4.75734928129979e-08,1.03457410105753,0.328,0.171,0.00160294126684115,"13","ENSG00000143771","ENSG00000143771","CNIH4"
5.025184223449e-08,1.51834352281143,0.2,0.072,0.00169318557224891,"13","ENSG00000112031","ENSG00000112031","MTRF1L"
5.05074171950528e-08,1.10794724932539,0.244,0.096,0.00170179691497011,"13","ENSG00000204304","ENSG00000204304","PBX2"
5.05529018807659e-08,0.956908620198589,0.367,0.209,0.00170332947597053,"13","ENSG00000163902","ENSG00000163902","RPN1"
5.36133405370108e-08,1.23829760441206,0.326,0.164,0.00180644789605404,"13","ENSG00000140391","ENSG00000140391","TSPAN3"
5.42663485540994e-08,0.959823216246739,0.458,0.291,0.00182845034818183,"13","ENSG00000185825","ENSG00000185825","BCAP31"
5.50262385375711e-08,0.956777341037311,0.365,0.225,0.00185405408128492,"13","ENSG00000105258","ENSG00000105258","POLR2I"
