"gene_id","gene_symbol","ENTREZID","cell_type","rank_stat"
"ENSG00000152382","TADA1","117143","B_cells",2.11084393901895
"ENSG00000083844","ZNF264","9422","B_cells",2.10566822791622
"ENSG00000146676","PURB","5814","B_cells",2.10391988363332
"ENSG00000145332","KLHL8","57563","B_cells",2.09568820650588
"ENSG00000176749","CDK5R1","8851","B_cells",2.0930531950303
"ENSG00000109756","RAPGEF2","9693","B_cells",2.09091965992777
"ENSG00000125266","EFNB2","1948","B_cells",2.09050510150487
"ENSG00000275342","SGK223","157285","B_cells",2.09047335470415
"ENSG00000151835","SACS","26278","B_cells",2.09021798965466
"ENSG00000107140","TESK1","7016","B_cells",2.08879146762318
"ENSG00000117481","NSUN4","387338","B_cells",2.0869625739729
"ENSG00000125657","TNFSF9","8744","B_cells",2.08424562102833
"ENSG00000135916","ITM2C","81618","B_cells",2.08283734281453
"ENSG00000048707","VPS13D","55187","B_cells",2.0816183464319
"ENSG00000204217","BMPR2","659","B_cells",2.08004194860416
"ENSG00000141384","TAF4B","6875","B_cells",2.07867628822201
"ENSG00000119669","IRF2BPL","64207","B_cells",2.07696099825605
"ENSG00000090905","TNRC6A","27327","B_cells",2.07598742857884
"ENSG00000109184","DCUN1D4","23142","B_cells",2.07352070688945
"ENSG00000004478","FKBP4","2288","B_cells",2.06985505496998
"ENSG00000021776","AQR","9716","B_cells",2.06957013472284
"ENSG00000042980","ADAM28","10863","B_cells",2.06408351555482
"ENSG00000103160","HSDL1","83693","B_cells",2.05833153133313
"ENSG00000165959","CLMN","79789","B_cells",2.05728834787351
"ENSG00000173825","TIGD3","220359","B_cells",2.05666868807927
"ENSG00000170525","PFKFB3","5209","B_cells",2.05609355184772
"ENSG00000149212","SESN3","143686","B_cells",2.05555376152217
"ENSG00000205268","PDE7A","5150","B_cells",2.05539781361295
"ENSG00000158480","SPATA2","9825","B_cells",2.05307380208416
"ENSG00000176903","PNMA1","9240","B_cells",2.05237808433927
"ENSG00000035115","SH3YL1","26751","B_cells",2.04986585859471
"ENSG00000166483","WEE1","7465","B_cells",2.04697621456289
"ENSG00000147789","ZNF7","7553","B_cells",2.0378175514328
"ENSG00000126070","AGO3","192669","B_cells",2.03630688697675
"ENSG00000143157","POGK","57645","B_cells",2.03280454603663
"ENSG00000186416","NKRF","55922","B_cells",2.03201493472909
