"gene_id","cell_type","logFC_mt25","FDR_mt25","significant_mt25","logFC_mt20","FDR_mt20","significant_mt20"
"ENSG00000102804","Monocytes",-0.721930713909277,0.883409213068608,FALSE,-0.713158701217437,0.889620520805682,FALSE
"ENSG00000102804","Pericytes",0.834986575345442,0.996670563838034,FALSE,0.859526978509997,0.997861040884521,FALSE
"ENSG00000102804","Plasma_cells",0.426573025884617,0.999095059856237,FALSE,0.426140768215245,0.999687993938603,FALSE
"ENSG00000102804","T_cells",0.522053842196821,0.892372827284748,FALSE,0.515016615307226,0.894455498535861,FALSE
"ENSG00000102805","B_cells",0.0656723303268961,0.986986998052926,FALSE,0.0876349197709861,0.983284317368251,FALSE
"ENSG00000102805","Epithelial",-0.67979246993178,0.999885721283904,FALSE,-0.592659091869023,0.999961302946579,FALSE
"ENSG00000102805","Macrophages",-0.275397072456002,0.998845877114298,FALSE,-0.314388731600723,0.999178301045505,FALSE
"ENSG00000102805","Monocytes",-0.185806495916085,0.959400792886358,FALSE,-0.208534708634436,0.958568356275945,FALSE
"ENSG00000102805","Plasma_cells",0.243047256445609,0.999095059856237,FALSE,0.242341973811907,0.999687993938603,FALSE
"ENSG00000102805","T_cells",-0.391714311545687,0.902168470558978,FALSE,-0.390058715905101,0.908551395048992,FALSE
"ENSG00000102837","Epithelial",0.80580922216813,0.999885721283904,FALSE,0.947531857769057,0.999961302946579,FALSE
"ENSG00000102854","Epithelial",-1.79003809853251,0.999885721283904,FALSE,-1.57696358823155,0.999961302946579,FALSE
"ENSG00000102858","B_cells",-0.0023848341821137,0.999837276015256,FALSE,-0.000783359686004296,0.99984192076185,FALSE
"ENSG00000102858","Epithelial",0.204022764201058,0.999885721283904,FALSE,0.210518985950075,0.999961302946579,FALSE
"ENSG00000102858","Macrophages",-0.148939946305028,0.998845877114298,FALSE,-0.15763655206633,0.999178301045505,FALSE
"ENSG00000102858","Mast_cells",-0.216948210692126,0.913740968182343,FALSE,-0.216168616872399,0.912056960082572,FALSE
"ENSG00000102858","Monocytes",-0.149466361863705,0.96254293105608,FALSE,-0.108212033052838,0.973264312254728,FALSE
"ENSG00000102858","Plasma_cells",-0.199669397247086,0.999095059856237,FALSE,-0.19904739773571,0.999687993938603,FALSE
"ENSG00000102858","T_cells",-0.0137644174763741,0.995285350171268,FALSE,0.00135347996152293,0.999310402957422,FALSE
"ENSG00000102870","Epithelial",-0.685394549011467,0.999885721283904,FALSE,-0.418863652480904,0.999961302946579,FALSE
"ENSG00000102871","B_cells",-0.497205321706166,0.926970182413002,FALSE,-0.487959876298337,0.924925109414933,FALSE
"ENSG00000102871","Endothelial",-0.037514502819699,0.998348054428417,FALSE,-0.0307185393041468,0.999406107364453,FALSE
"ENSG00000102871","Epithelial",-0.857708317089695,0.999885721283904,FALSE,-0.746016653302831,0.999961302946579,FALSE
"ENSG00000102871","Macrophages",-0.295041586308993,0.998845877114298,FALSE,-0.301275863652507,0.999178301045505,FALSE
"ENSG00000102871","Monocytes",0.0344010779573252,0.994447167613675,FALSE,0.0804720131307256,0.980384769106634,FALSE
"ENSG00000102871","Pericytes",0.184582416531414,0.996670563838034,FALSE,0.185388693641734,0.997861040884521,FALSE
"ENSG00000102871","Plasma_cells",-0.0948149390406544,0.999095059856237,FALSE,-0.0904996916688784,0.999687993938603,FALSE
"ENSG00000102871","T_cells",-0.557515977036811,0.892372827284748,FALSE,-0.556565703776632,0.894455498535861,FALSE
"ENSG00000102878","Epithelial",-0.00510984425777122,0.99994021560338,FALSE,0.260557482282977,0.999961302946579,FALSE
"ENSG00000102879","B_cells",-0.802087743936492,0.926970182413002,FALSE,-0.794548388806465,0.924925109414933,FALSE
"ENSG00000102879","Epithelial",-0.706503785905308,0.999885721283904,FALSE,-0.593310460901041,0.999961302946579,FALSE
"ENSG00000102879","Macrophages",0.160603682657174,0.998845877114298,FALSE,0.196799639260407,0.999178301045505,FALSE
"ENSG00000102879","Mast_cells",-0.672136323104036,0.698517280607617,FALSE,-0.689207571455656,0.674846708940508,FALSE
"ENSG00000102879","Monocytes",0.293253860800681,0.935878703492512,FALSE,0.329436697974479,0.924994419135359,FALSE
"ENSG00000102879","Neutrophils",-0.0997744615616249,0.976491558584159,FALSE,-0.0843172075076759,0.986147442178648,FALSE
"ENSG00000102879","Plasma_cells",-0.627340146268722,0.999095059856237,FALSE,-0.598948646161522,0.999687993938603,FALSE
"ENSG00000102879","T_cells",-0.628420734613488,0.883790608253105,FALSE,-0.624422550671216,0.8936094913522,FALSE
"ENSG00000102882","B_cells",-0.672948568335124,0.926970182413002,FALSE,-0.643224921112076,0.924925109414933,FALSE
"ENSG00000102882","Endothelial",-0.262240392349717,0.998348054428417,FALSE,-0.238679419282367,0.998456677726992,FALSE
"ENSG00000102882","Epithelial",-0.835685204268298,0.999885721283904,FALSE,-0.780178888140931,0.999961302946579,FALSE
"ENSG00000102882","Macrophages",-0.152476500755062,0.998845877114298,FALSE,-0.170501144564802,0.999178301045505,FALSE
"ENSG00000102882","Pericytes",-0.018407214452746,0.996670563838034,FALSE,-0.0641874523421552,0.997861040884521,FALSE
"ENSG00000102882","Plasma_cells",-0.142674160976091,0.999095059856237,FALSE,-0.144230331212475,0.999687993938603,FALSE
"ENSG00000102882","T_cells",-0.679058686596284,0.866122442726678,FALSE,-0.675141659779643,0.875506099874848,FALSE
"ENSG00000102886","Epithelial",-1.37274782469441,0.999885721283904,FALSE,-1.39482829093886,0.999961302946579,FALSE
"ENSG00000102886","T_cells",-0.132000584135607,0.976974017874006,FALSE,-0.0699776348375528,0.986779362733637,FALSE
"ENSG00000102890","Epithelial",-0.0616479209776184,0.999885721283904,FALSE,0.0635908829544627,0.999961302946579,FALSE
"ENSG00000102893","B_cells",0.262821460883544,0.9493132104384,FALSE,0.254999526322353,0.944938221997124,FALSE
"ENSG00000102893","Endothelial",0.57686111110928,0.998348054428417,FALSE,0.516173906160101,0.998456677726992,FALSE
"ENSG00000102893","Epithelial",-0.0468157955329621,0.999885721283904,FALSE,-0.0354316274498952,0.999961302946579,FALSE
"ENSG00000102893","Macrophages",0.437850053296396,0.998845877114298,FALSE,0.47378949800334,0.999178301045505,FALSE
"ENSG00000102893","Monocytes",0.506404992091781,0.878872297679331,FALSE,0.58099798729289,0.850488005596067,FALSE
"ENSG00000102893","Pericytes",0.264581364004494,0.996670563838034,FALSE,0.245760744871005,0.997861040884521,FALSE
"ENSG00000102893","Plasma_cells",0.177417175685311,0.999095059856237,FALSE,0.188806712894731,0.999687993938603,FALSE
"ENSG00000102893","T_cells",-0.0179848239246697,0.992387580043676,FALSE,-0.000938481857039826,0.999310402957422,FALSE
"ENSG00000102897","B_cells",-0.43208431160649,0.926970182413002,FALSE,-0.422627687900817,0.924925109414933,FALSE
"ENSG00000102897","Epithelial",0.120075777618022,0.999885721283904,FALSE,0.0695789235823476,0.999961302946579,FALSE
"ENSG00000102897","Macrophages",0.332260378379564,0.998845877114298,FALSE,0.384646873248526,0.999178301045505,FALSE
"ENSG00000102897","Monocytes",-0.307170830361367,0.934141115217505,FALSE,-0.332628310689043,0.924994419135359,FALSE
"ENSG00000102897","Plasma_cells",0.435044617792197,0.999095059856237,FALSE,0.435828821799175,0.999687993938603,FALSE
"ENSG00000102897","T_cells",-0.140093174493202,0.951786376165161,FALSE,-0.152231143166076,0.951130663389882,FALSE
"ENSG00000102898","B_cells",-0.677763282227873,0.926970182413002,FALSE,-0.683375483147665,0.924925109414933,FALSE
"ENSG00000102898","Endothelial",-0.495620876018527,0.998348054428417,FALSE,-0.47386800401809,0.998456677726992,FALSE
"ENSG00000102898","Epithelial",-0.353802835121305,0.999885721283904,FALSE,-0.358684677290197,0.999961302946579,FALSE
"ENSG00000102898","Macrophages",-0.327073405381309,0.998845877114298,FALSE,-0.304527956937695,0.999178301045505,FALSE
"ENSG00000102898","Mast_cells",-0.34295885421415,0.836459505227337,FALSE,-0.338585864641363,0.836288699526082,FALSE
"ENSG00000102898","Monocytes",0.149363920294616,0.958450285212844,FALSE,0.166684928794828,0.950684773201537,FALSE
"ENSG00000102898","Pericytes",-0.209323664498245,0.996670563838034,FALSE,-0.202746742324257,0.997861040884521,FALSE
"ENSG00000102898","Plasma_cells",-0.309023902540014,0.999095059856237,FALSE,-0.315226463338133,0.999687993938603,FALSE
"ENSG00000102898","T_cells",-0.509222701044771,0.892372827284748,FALSE,-0.511104794212447,0.894455498535861,FALSE
"ENSG00000102900","B_cells",-0.111988963479274,0.978237769739727,FALSE,-0.125225468721247,0.973992731194437,FALSE
"ENSG00000102900","Endothelial",-0.552194625485163,0.998348054428417,FALSE,-0.493125230606042,0.998456677726992,FALSE
"ENSG00000102900","Epithelial",-0.130303404547633,0.999885721283904,FALSE,-0.171827431320349,0.999961302946579,FALSE
"ENSG00000102900","Macrophages",0.24786059542078,0.998845877114298,FALSE,0.308764162647087,0.999178301045505,FALSE
"ENSG00000102900","Monocytes",0.78841929651135,0.841029682054766,FALSE,0.834940254181942,0.831916554819703,FALSE
"ENSG00000102900","Plasma_cells",-0.236053733998866,0.999095059856237,FALSE,-0.23554758634889,0.999687993938603,FALSE
"ENSG00000102900","T_cells",0.00808426778737727,0.998188605733984,FALSE,0.0663505827976368,0.98033963146885,FALSE
"ENSG00000102901","B_cells",-0.513078832509692,0.926970182413002,FALSE,-0.527200828821121,0.924925109414933,FALSE
"ENSG00000102901","Epithelial",-0.820691515060891,0.999885721283904,FALSE,-0.832052247306291,0.999961302946579,FALSE
