"gene_id","cell_type","loo_direction_consistency","min_loo_logcpm_difference","max_loo_logcpm_difference"
"ENSG00000159023","B_cells",1,0.323225926941799,0.579370832095269
"ENSG00000116350","B_cells",0.5,-0.121469791451908,0.224805431102635
"ENSG00000116353","B_cells",1,-1.38151143020792,-0.300644513203832
"ENSG00000186056","B_cells",1,0.582332666826691,1.02262892155092
"ENSG00000162511","B_cells",0.666666666666667,-0.20626836823223,0.116862195352653
"ENSG00000134644","B_cells",1,0.287242125527345,0.793435564858005
"ENSG00000060688","B_cells",0.833333333333333,-0.545233379224496,0.0549373135195328
"ENSG00000121766","B_cells",1,-0.802817475524491,-0.205551001934147
"ENSG00000168528","B_cells",1,-1.16214955589443,-0.713939990051775
"ENSG00000162517","B_cells",0.666666666666667,-0.0629846824462339,0.287830096509178
"ENSG00000184007","B_cells",0.666666666666667,-0.178310960397848,0.0564545593032033
"ENSG00000121774","B_cells",1,-0.361815445887619,-0.176345692191753
"ENSG00000121775","B_cells",0.833333333333333,-0.745680436052722,0.0193256623478422
"ENSG00000025800","B_cells",1,0.0319460455374143,0.836195384606955
"ENSG00000084652","B_cells",0.833333333333333,-0.203527264249586,0.326663306340837
"ENSG00000160050","B_cells",1,-2.32424288221082,-0.746517532131004
"ENSG00000160055","B_cells",1,-0.761969431245247,-0.405339196641405
"ENSG00000084623","B_cells",1,-1.11395160172773,-0.112593691989319
"ENSG00000182866","B_cells",1,-0.887127691770145,-0.237657983755773
"ENSG00000116478","B_cells",1,-0.439610666748386,-0.190259241586673
"ENSG00000175130","B_cells",1,-1.36982446788548,-0.410501588865044
"ENSG00000160058","B_cells",0.666666666666667,-0.176219346467119,0.321204251833689
"ENSG00000176261","B_cells",1,-1.08609208074904,-0.638898502441102
"ENSG00000162521","B_cells",1,-0.316454057954716,-0.0845385665537899
"ENSG00000162520","B_cells",0.833333333333333,-1.09209130799909,0.127754687269746
"ENSG00000134684","B_cells",1,-0.705983528776459,-0.284997793219126
"ENSG00000116497","B_cells",0.833333333333333,-0.12691394851023,0.526717800987664
"ENSG00000116514","B_cells",0.833333333333333,-0.495816589367425,0.0712795897972582
"ENSG00000004455","B_cells",0.833333333333333,-0.544151890484766,0.0279368005988569
"ENSG00000160094","B_cells",1,-0.504082684988503,-0.0834605204632273
"ENSG00000134686","B_cells",0.833333333333333,-0.00521741951516574,0.26918647167513
"ENSG00000163866","B_cells",0.833333333333333,-1.44650432816723,0.278655906407709
"ENSG00000163867","B_cells",1,0.298522767072599,0.780324361809907
"ENSG00000197056","B_cells",1,-0.828696154276008,-0.113766779455977
"ENSG00000116560","B_cells",1,0.198087619879935,0.686429160225174
"ENSG00000146463","B_cells",1,0.240288834156515,0.62030448127128
"ENSG00000142687","B_cells",0.666666666666667,-0.285592078603388,0.489441761355461
"ENSG00000020129","B_cells",1,-0.622954067945183,-0.337030358123688
"ENSG00000126067","B_cells",1,-1.35929740871057,-0.469028756278526
"ENSG00000092853","B_cells",1,-2.66235099935993,-1.1319878628444
"ENSG00000134698","B_cells",0.833333333333333,-0.831462667447709,0.159166401679133
"ENSG00000092847","B_cells",0.666666666666667,-0.241204869348847,0.628470279469922
"ENSG00000126070","B_cells",1,0.402131218315644,1.16330718662919
"ENSG00000116863","B_cells",0.666666666666667,-0.207745814301477,0.556339292219754
"ENSG00000054116","B_cells",1,-0.93512382909086,-0.0281045163957501
"ENSG00000116871","B_cells",1,-0.769078644362774,-0.31615759638835
"ENSG00000054118","B_cells",1,-1.17762282296245,-0.428073114279885
"ENSG00000196182","B_cells",1,-0.592915535040272,-0.351582596728084
"ENSG00000181817","B_cells",1,-1.54475452572714,-0.934659460844504
"ENSG00000116898","B_cells",1,-1.77074920847848,-0.747889014100447
"ENSG00000163874","B_cells",1,0.364396892963705,0.897163039865862
"ENSG00000163875","B_cells",1,-0.409200163904772,-0.010825138092498
"ENSG00000163877","B_cells",1,0.0264557402255714,0.886714731778325
"ENSG00000134697","B_cells",0.166666666666667,-0.761959896599777,0.506824399389572
"ENSG00000116922","B_cells",1,0.371508766356118,0.755641380011677
"ENSG00000134690","B_cells",1,-2.3598005859679,-1.68410589447704
"ENSG00000196449","B_cells",0.5,-0.18312101929977,0.495807502229517
"ENSG00000197982","B_cells",0.5,-0.153791485169703,0.336376736304269
"ENSG00000188786","B_cells",1,0.413257075909906,1.024398837513
"ENSG00000204084","B_cells",1,-0.567874836808678,-0.188336527289192
"ENSG00000183431","B_cells",0.666666666666667,-0.179416443179251,0.14915001668617
"ENSG00000183520","B_cells",0.166666666666667,-0.858732358327291,0.600265159855599
"ENSG00000185668","B_cells",1,-0.975929148859088,-0.00548295202897409
"ENSG00000116954","B_cells",0.833333333333333,-0.014146494413537,0.479461643390883
"ENSG00000214114","B_cells",1,-0.457619356304529,-0.10950277917198
"ENSG00000174574","B_cells",0.666666666666667,-0.272713545635668,0.62262101829664
"ENSG00000168653","B_cells",0.833333333333333,-0.839117279319857,0.199016371442773
"ENSG00000127603","B_cells",0.666666666666667,-0.463517075377633,0.261083983369612
"ENSG00000182109","B_cells",1,0.374708332000186,0.868891911251378
"ENSG00000090621","B_cells",1,0.332102737832961,0.626771333374596
"ENSG00000084072","B_cells",1,-0.719529033524084,-0.525677738112632
"ENSG00000043514","B_cells",1,0.0921839083507301,0.911308671981295
"ENSG00000168389","B_cells",1,-2.15855723962431,-0.437117187160176
"ENSG00000131236","B_cells",0.5,-0.389877172034617,0.145995464288653
"ENSG00000131238","B_cells",0.833333333333333,-0.29145504757871,0.122732793626938
"ENSG00000117000","B_cells",1,0.387543951627734,1.09951448578213
"ENSG00000259943","B_cells",1,-1.79220036423401,-0.405735508400519
